age,hours_work,social_media_use,rent,friends_count,highest_speed,dates,standard_drinks,countries,semesters,commute,data_interest,mark_goal,hours_studying,financial_pressure,work_study_ratio,social_engagement,gender,relationship_status,drug_use_ans,student_type,mainstream_advanced,lecture_mode,study_type,learner_style,stress_category
19.0,0.0,4.0,600.0,0.0,150.0,0.0,0.0,4.0,0.0,20.0,7.0,100.0,10.0,600.0,0.0,0.0,Female,Single,No,Domestic,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,Average
18.0,13.0,2.4,0.0,7.0,90.0,5.0,9.0,14.0,0.0,30.0,6.0,70.0,7.0,0.0,1.8571428571428572,2.916666666666667,Female,Its complicated,No,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Average
18.0,24.0,4.8,600.0,11.0,100.0,0.0,2.0,4.0,0.0,1.0,10.0,60.0,24.0,25.0,1.0,2.291666666666667,Male,In a relationship,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 2,High
19.0,10.0,4.5,0.0,1.0,90.0,0.0,0.0,3.0,0.0,90.0,3.0,80.0,5.0,0.0,2.0,0.2222222222222222,Female,Single,No,Domestic,DATA1001,Recording,I leave things to the last minute,Style 2,High
18.0,2.0,5.0,0.0,20.0,110.0,0.0,4.0,5.0,0.0,90.0,2.0,85.0,3.0,0.0,0.6666666666666666,4.0,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,It changes depending on the subject,Style 3,Low
19.0,0.0,2.0,800.0,8.0,50.0,5.0,0.0,10.0,1.0,20.0,1.0,80.0,2.0,800.0,0.0,4.0,Male,In a relationship,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,Average
18.0,4.0,1.0,900.0,10.0,90.0,0.0,0.0,4.0,0.0,15.0,8.0,100.0,0.0,225.0,4.0,10.0,Prefer not to say,Single,Prefer not to say,International,DATA1001,Lecture Slides,I leave things to the last minute,Style 1,High
21.0,20.0,2.5,0.0,5.0,130.0,15.0,0.0,13.0,4.0,60.0,5.0,75.0,6.0,0.0,3.3333333333333335,2.0,Female,Single,Yes,Domestic,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 1,High
19.0,0.0,12.5,0.0,10.0,100.0,0.0,0.0,3.0,0.0,50.0,9.0,100.0,6.0,0.0,0.0,0.8,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 1,Average
18.0,1.0,3.1,0.0,4.0,180.0,3.0,0.0,5.0,1.0,45.0,2.0,90.0,2.0,0.0,0.5,1.2903225806451613,Female,In a relationship,No,Domestic,DATA1001,Recording,I leave things to the last minute,Style 2,Average
19.0,17.0,7.25,725.0,2.0,100.0,0.0,0.0,5.0,1.0,20.0,5.0,80.0,8.0,42.64705882352941,2.125,0.27586206896551724,Female,Single,No,International,DATA1001,Recording,It changes depending on the subject,Style 2,Average
18.0,11.5,2.0,0.0,7.0,110.0,1.0,0.0,6.0,0.0,70.0,6.0,80.0,2.0,0.0,5.75,3.5,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 3,Average
19.0,35.0,6.0,585.0,10.0,0.0,100.0,3.0,3.0,1.0,30.0,0.0,85.0,3.0,16.714285714285715,11.666666666666666,1.6666666666666667,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 2,Average
