cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Viet Nam,0,1.4,400,4,6,0,Single,0,2,10,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,60,9,100,2,Recording,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,22,Female,China,,0,5,300,2,7,0,Single,0,0,9,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,40,3,80,10,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,18,Female,China,,8,4,700,5,8,60,Single,2,3,6,Have you ever used recreational drugs?,No,International,DATA1001,0,15,5,6,3,Live in the Lecture Theatre,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,20,Male,China,,35,2,300,5,7,50,Single,0,5,3,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,120,5,80,2,Live in the Lecture Theatre,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,18,Female,Other Please Specify,Israel,0,2.75,0,10,5,120,Single,0,1,4,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,1,90,9,80,2,Live in the Lecture Theatre,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,18,Female,Australia,,10,2.5,0,15,3,120,Single,3,0,4,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,1,35,4,85,6,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Male,China,,0,7,799,5,7,100,Single,0,5,4,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,20,9,100,30,Other,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Female,China,,2,10,530,5,7,200,In a relationship,6,2,4,Have you ever used recreational drugs?,No,International,DATA1001,4,30,6,85,5,Recording,I leave things to the last minute,Style 3
2024S2,I consent to take part in the study,18,Male,Australia,,28,1.5,0,10,2,150,In a relationship,20,10,17,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,1,35,6,50,2,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,20,Male,China,,1,8,600,1,1,180,In a relationship,20,10,3,Have you ever used recreational drugs?,No,International,DATA1001,0,15,7,100,3,Live in the Lecture Theatre,I work steadily all semester,Style 1
